Word,Freq,Rank
spirits,34,462
walk,34,463
help,34,464
business,34,465
all.,34,466
days,34,467
common,34,468
attachment,34,469
else,34,470
martin,34,471
seem,34,472
usual,34,473
consider,34,474
allowed,33,475
doing,33,476
sat,33,477
keep,33,478
"be,",33,479
beginning,33,480
new,33,481
neither,33,482
smith,33,483
determined,33,484
"you.""",33,485
appeared,33,486
excellent,32,487
together,32,488
agreeable,32,489
therefore,32,490
marry,32,491
saying,32,492
"day,",32,493
"on,",32,494
delightful,32,495
name,32,496
aunt,32,497
carriage,32,498
convinced,32,499
asked,32,500
"yes,",32,501
use,32,502
lady,32,503
absolutely,32,504
farther,32,505
pleasant,31,506
well.,31,507
received,31,508
sent,31,509
"morning,",31,510
interest,31,511
manners,31,512
"so,",31,513
"""yes,",31,514
answer,31,515
anxious,31,516
"""if",31,517
appear,31,518
.,31,519
world,30,520
short,30,521
"friend,",30,522
power,30,523
large,30,524
heart,30,525
entirely,30,526
"himself,",30,527
life,30,528
knightley.,30,529
"short,",30,530
spoke,30,531
"""well,",30,532
within,30,533
"perhaps,",30,534
worth,30,535
cole,30,536
maple,30,537
perfect,29,538
settled,29,539
greatest,29,540
yourself,29,541
body's,29,542
acquainted,29,543
knightley's,29,544
spoken,29,545
course,29,546
churchill's,29,547
fairfax's,29,548
affection,28,549
meet,28,550
acquaintance,28,551
impossible,28,552
knows,28,553
turned,28,554
"sir,",28,555
shew,28,556
already,28,557
"therefore,",28,558
respect,28,559
account,28,560
probably,28,561
"moment,",28,562
comfortable,27,563
early,27,564
evil,27,565
society,27,566
"do,",27,567
hearing,27,568
brother,27,569
children,27,570
"all,",27,571
"""ah!",27,572
circumstance,27,573
forward,27,574
greater,27,575
ill,27,576
weston.,27,577
"feelings,",27,578
"""what",27,579
"side,",27,580
robert,27,581
minutes,27,582
air,27,583
"mind,",27,584
"""she",27,585
wanting,27,586
cold,27,587
"home,",27,588
"word,",27,589
forget,27,590
"family,",26,591
"way,",26,592
true,26,593
time.,26,594
isabella,26,595
"house,",26,596
returned,26,597
wife,26,598
merely,26,599
elton.,26,600
"him.""",26,601
except,26,602
voice,26,603
"think,",26,604
actually,26,605
object,26,606
do.,26,607
taking,26,608
"hope,",26,609
open,26,610
"this,",26,611
thank,26,612
pass,26,613
"there,",26,614
persuaded,26,615
weather,26,616
"away,",25,617
amiable,25,618
"""how",25,619
whenever,25,620
meeting,25,621
others,25,622
supposed,25,623
engaged,25,624
fancy,25,625
thoughts,25,626
led,25,627
"not,",25,628
ten,25,629
more.,25,630
"me.""",25,631
interesting,25,632
taste,25,633
campbell,25,634
letters,25,635
taylor,24,636
highly,24,637
danger,24,638
spite,24,639
"place,",24,640
necessary,24,641
"to,",24,642
pay,24,643
afterwards,24,644
emma;,24,645
none,24,646
"more,",24,647
resolution,24,648
away.,24,649
second,24,650
generally,24,651
"letter,",24,652
donwell,24,653
delighted,24,654
"her.""",24,655
"much,",24,656
begin,24,657
completely,24,658
"i,",24,659
continued,24,660
smile,24,661
resolved,24,662
knowing,23,663
loved,23,664
sensible,23,665
nature,23,666
handsome,23,667
tried,23,668
daughter,23,669
months,23,670
"of,",23,671
serious,23,672
seems,23,673
entered,23,674
harriet.,23,675
"out,",23,676
kindness,23,677
certain,23,678
instead,23,679
join,23,680
words,23,681
"other,",22,682
"pleasure,",22,683
sad,22,684
pity,22,685
"""we",22,686
"myself,",22,687
"""mr.",22,688
small,22,689
warm,22,690
creature,22,691
became,22,692
"woman,",22,693
indeed.,22,694
fortunate,22,695
fair,22,696
struck,22,697
appearance,22,698
_she_,22,699
"thing,",22,700
telling,22,701
send,22,702
"""there",22,703
"hand,",22,704
expected,22,705
charming,22,706
standing,22,707
"""this",22,708
caught,22,709
conversation,22,710
"dinner,",21,711
friend.,21,712
followed,21,713
difference,21,714
hartfield.,21,715
times,21,716
pain,21,717
matter,21,718
chuse,21,719
scarcely,21,720
"in,",21,721
"suppose,",21,722
before.,21,723
"added,",21,724
excuse,21,725
try,21,726
stand,21,727
write,21,728
character,21,729
view,21,730
trying,21,731
box,21,732
door,20,733
us.,20,734
"manner,",20,735
thinks,20,736
"replied,",20,737
"wife,",20,738
"subject,",20,739
child,20,740
influence,20,741
written,20,742
says,20,743
"course,",20,744
surprize,20,745
possible.,20,746
goddard's,20,747
girl,20,748
knowledge,20,749
decided,20,750
other.,20,751
"done,",20,752
kept,20,753
praise,20,754
meaning,20,755
"last,",20,756
difficulty,20,757
"did,",20,758
side,20,759
hand,20,760
"world,",20,761
truth,20,762
ashamed,20,763
"over,",19,764
"london,",19,765
spent,19,766
"""the",19,767
mentioned,19,768
"evening,",19,769
directly,19,770
comes,19,771
four,19,772
"with,",19,773
"first,",19,774
"for,",19,775
curiosity,19,776
compliment,19,777
understood,19,778
regret,19,779
way.,19,780
elegant,19,781
health,19,782
themselves,19,783
"smith,",19,784
"up,",19,785
judge,19,786
looks,19,787
attempt,19,788
"love,",19,789
eager,19,790
agreed,19,791
smallest,19,792
"one,",19,793
know.,19,794
attached,19,795
turn,19,796
not.,19,797
calling,19,798
"party,",19,799
dancing,19,800
jane's,19,801
lived,18,802
"had,",18,803
temper,18,804
herself;,18,805
"together,",18,806
easy,18,807
considering,18,808
aware,18,809
disposed,18,810
thoroughly,18,811
"randalls,",18,812
cheerful,18,813
"here,",18,814
depend,18,815
understanding,18,816
"sure,",18,817
proof,18,818
distance,18,819
hours,18,820
thrown,18,821
"lady,",18,822
"friends,",18,823
nothing.,18,824
high,18,825
style,18,826
recommend,18,827
information,18,828
now.,18,829
men,18,830
"spirits,",18,831
makes,18,832
"""so",18,833
"which,",18,834
so.,18,835
extraordinary,18,836
attentions,18,837
"believe,",18,838
"too,",18,839
passing,18,840
william,18,841
gratitude,17,842
"children,",17,843
advantage,17,844
"carriage,",17,845
"""not",17,846
beautiful,17,847
possibly,17,848
dearest,17,849
lose,17,850
whatever,17,851
spend,17,852
son,17,853
worthy,17,854
safely,17,855
respectable,17,856
especially,17,857
complete,17,858
pleasing,17,859
prevent,17,860
"opinion,",17,861
beauty,17,862
well;,17,863
quiet,17,864
notice,17,865
form,17,866
of.,17,867
admiration,17,868
"us,",17,869
company,17,870
during,17,871
"once,",17,872
wait,17,873
london,17,874
finding,17,875
again;,17,876
worse,17,877
highbury.,17,878
obliging,17,879
joined,17,880
news,17,881
behaviour,17,882
intimacy,16,883
disposition,16,884
companion,16,885
them;,16,886
married,16,887
"body,",16,888
"off,",16,889
place.,16,890
late,16,891
here.,16,892
question,16,893
myself.,16,894
father.,16,895
"right,",16,896
pray,16,897
due,16,898
sweet,16,899
"thought,",16,900
week,16,901
together.,16,902
run,16,903
close,16,904
clever,16,905
shewed,16,906
wrong,16,907
me;,16,908
"marry,",16,909
mere,16,910
randalls.,16,911
expect,16,912
be.,16,913
fixed,16,914
judgment,16,915
equally,16,916
favourite,16,917
growing,16,918
sudden,16,919
"room,",16,920
wrote,16,921
marrying,16,922
getting,16,923
thousand,16,924
man's,16,925
sight,16,926
fully,16,927
turning,16,928
enscombe,16,929
wishing,16,930
distress,15,931
living,15,932
own.,15,933
loss,15,934
dine,15,935
event,15,936
promise,15,937
day.,15,938
miles,15,939
"could,",15,940
"""a",15,941
horses,15,942
observe,15,943
"fact,",15,944
body.,15,945
face,15,946
marriage,15,947
happily,15,948
proved,15,949
"must,",15,950
"long,",15,951
comprehend,15,952
pride,15,953
worst,15,954
wishes,15,955
"saying,",15,956
weeks,15,957
"people,",15,958
couple,15,959
"girl,",15,960
happened,15,961
regular,15,962
spirit,15,963
quick,15,964
totally,15,965
inclination,15,966
dislike,15,967
"married,",15,968
"""to",15,969
opportunity,15,970
surprized,15,971
"answer,",15,972
justice,15,973
me!,15,974
done.,15,975
circumstances,15,976
"words,",15,977
"isabella,",15,978
"still,",15,979
quarter,15,980
hopes,15,981
"others,",15,982
gentlemen,15,983
table,15,984
"minutes,",15,985
bates's,15,986
fairfax.,15,987
reached,15,988
"hour,",15,989
churchill.,15,990
nearly,14,991
"fortune,",14,992
friendship,14,993
work,14,994
tea,14,995
live,14,996
odd,14,997
"papa,",14,998
james,14,999
else.,14,1000
hurry,14,1001
suspect,14,1002
considerable,14,1003
head,14,1004
single,14,1005
year,14,1006
uncle,14,1007
subject.,14,1008
fortune,14,1009
"brother,",14,1010
charge,14,1011
life.,14,1012
himself.,14,1013
considered,14,1014
reasonable,14,1015
country,14,1016
"martin,",14,1017
busy,14,1018
lost,14,1019
picture,14,1020
approbation,14,1021
share,14,1022
blush,14,1023
eye,14,1024
gentleman,14,1025
repeated,14,1026
good.,14,1027
reading,14,1028
persuade,14,1029
sister,14,1030
"""thank",14,1031
"heart,",14,1032
gives,14,1033
slight,14,1034
added,14,1035
infinitely,14,1036
likeness,14,1037
henry,14,1038
that's,14,1039
occurred,14,1040
severe,14,1041
assured,14,1042
better.,14,1043
claims,14,1044
staying,14,1045
promised,14,1046
also,14,1047
"aunt,",14,1048
