Word,Freq,Rank
winged,17,465
name,17,466
appeared,17,467
bad,17,468
wandering,17,469
"last,",17,470
wild,17,471
held,17,472
universal,17,473
thousand,17,474
"thoughts,",17,475
whole,17,476
"know,",17,477
not;,17,478
whatever,17,479
show,17,480
done,17,481
"saying,",17,482
"part,",17,483
turned,17,484
trees,17,485
"sight,",17,486
top,16,487
raise,16,488
cause,16,489
"mankind,",16,490
bold,16,491
dire,16,492
"will,",16,493
chief,16,494
being,16,495
small,16,496
large,16,497
"place,",16,498
hung,16,499
ease,16,500
you,16,501
cloud,16,502
between,16,503
passed,16,504
hard,16,505
fled,16,506
silence,16,507
sent,16,508
fresh,16,509
give,16,510
rising,16,511
higher,16,512
"thus,",16,513
creatures,16,514
"alone,",16,515
others,16,516
towards,16,517
neither,16,518
returned,16,519
took,16,520
glad,16,521
night;,16,522
sovran,16,523
spake.,16,524
praise,16,525
lead,16,526
began,16,527
turn,16,528
grateful,16,529
lost,15,530
rose,15,531
"more,",15,532
"pure,",15,533
ways,15,534
flaming,15,535
lay,15,536
doom,15,537
"round,",15,538
known,15,539
field,15,540
wrath,15,541
"strength,",15,542
labour,15,543
henceforth,15,544
"so,",15,545
fiend,15,546
armed,15,547
loud,15,548
seen,15,549
"till,",15,550
fill,15,551
god's,15,552
"say,",15,553
solemn,15,554
"hill,",15,555
chaos,15,556
front,15,557
"arms,",15,558
command,15,559
met,15,560
"throne,",15,561
wrought,15,562
strange,15,563
east,15,564
"for,",15,565
laws,15,566
draw,15,567
"deep,",15,568
false,15,569
seem,15,570
"evil,",15,571
desire,15,572
"return,",15,573
send,15,574
sometimes,15,575
serpent,15,576
"seemed,",15,577
ear,15,578
"cloud,",15,579
"works,",15,580
waters,15,581
inward,15,582
angelick,15,583
book,14,584
delight,14,585
cast,14,586
"angels,",14,587
comes,14,588
"power,",14,589
immortal,14,590
"foe,",14,591
"pain,",14,592
answered,14,593
"plain,",14,594
"hope,",14,595
thunder,14,596
"here,",14,597
wing,14,598
pass,14,599
mankind,14,600
"name,",14,601
"heart,",14,602
drew,14,603
filled,14,604
cold,14,605
bounds,14,606
looks,14,607
rise,14,608
close,14,609
went,14,610
"field,",14,611
nigh,14,612
began.,14,613
"is,",14,614
return,14,615
sit,14,616
clouds,14,617
needs,14,618
four,14,619
(for,14,620
wisdom,14,621
"just,",14,622
stars,14,623
shade,14,624
sleep,14,625
taught,13,626
low,13,627
ordained,13,628
knew,13,629
innumerable,13,630
shame,13,631
"hail,",13,632
infinite,13,633
driven,13,634
bid,13,635
faithful,13,636
"voice,",13,637
toward,13,638
broad,13,639
leaves,13,640
winds,13,641
beheld,13,642
"thrones,",13,643
"gold,",13,644
"saw,",13,645
whereon,13,646
straight,13,647
perfect,13,648
"far,",13,649
tell,13,650
starry,13,651
fly,13,652
"sat,",13,653
"faith,",13,654
fatal,13,655
act,13,656
"perhaps,",13,657
presence,13,658
"flowers,",13,659
them;,13,660
"yet,",13,661
pleasure,13,662
"fair,",13,663
keep,13,664
"fight,",13,665
"vain,",13,666
world;,13,667
"stars,",13,668
garden,13,669
freely,13,670
soul,13,671
eden,13,672
mayest,13,673
bruise,13,674
"serpent,",13,675
greater,12,676
nothing,12,677
"eyes,",12,678
mixed,12,679
"dwell,",12,680
"darkness,",12,681
outward,12,682
"hate,",12,683
beneath,12,684
"angel,",12,685
proof,12,686
destruction,12,687
laid,12,688
"delight,",12,689
gates,12,690
"flood,",12,691
"head,",12,692
sought,12,693
itself,12,694
built,12,695
pursued,12,696
direct,12,697
haste,12,698
lies,12,699
fate,12,700
maker,12,701
ten,12,702
sorrow,12,703
number,12,704
whereof,12,705
therein,12,706
sign,12,707
numerous,12,708
"art,",12,709
third,12,710
"wide,",12,711
flowers,12,712
amidst,12,713
short,12,714
"bliss,",12,715
"reason,",12,716
easy,12,717
michael,12,718
"rose,",12,719
need,12,720
"flight,",12,721
"go,",12,722
"joy,",12,723
me;,12,724
bliss,12,725
"creatures,",12,726
sung,12,727
approach,12,728
"free,",12,729
obedience,12,730
"both,",12,731
life;,12,732
promised,12,733
wonder,12,734
longer,12,735
wonderous,12,736
mid,12,737
hence,12,738
him;,12,739
highth,12,740
fairest,12,741
"glory,",12,742
"taste,",12,743
"live,",12,744
loss,11,745
secret,11,746
aid,11,747
moved,11,748
mother,11,749
pride,11,750
ruin,11,751
durst,11,752
utter,11,753
changed,11,754
joined,11,755
perpetual,11,756
"rest,",11,757
ancient,11,758
felt,11,759
brings,11,760
matter,11,761
orb,11,762
steps,11,763
"heard,",11,764
adorned,11,765
black,11,766
dread,11,767
moon,11,768
"when,",11,769
violence,11,770
prime,11,771
orient,11,772
view,11,773
care,11,774
past,11,775
grow,11,776
formed,11,777
"fell,",11,778
nearer,11,779
wise,11,780
"nature,",11,781
"best,",11,782
lord,11,783
lose,11,784
rule,11,785
"passed,",11,786
radiant,11,787
good;,11,788
"wings,",11,789
three,11,790
smell,11,791
"hand,",11,792
thing,11,793
speed,11,794
"bright,",11,795
dear,11,796
hither,11,797
gate,11,798
dominion,11,799
star,11,800
"past,",11,801
"created,",11,802
goodness,11,803
"days,",11,804
flesh,11,805
"down,",11,806
course,11,807
touch,11,808
coming,11,809
naked,11,810
knowest,11,811
"tree,",11,812
earthly,11,813
together,11,814
eat,11,815
"eden,",10,816
heavens,10,817
middle,10,818
chiefly,10,819
"spirit,",10,820
envy,10,821
"revenge,",10,822
hideous,10,823
justice,10,824
seest,10,825
"armed,",10,826
empyreal,10,827
"be,",10,828
shot,10,829
yield,10,830
"grace,",10,831
liquid,10,832
wind,10,833
fire.,10,834
safe,10,835
hollow,10,836
"known,",10,837
cursed,10,838
watery,10,839
hell.,10,840
"sons,",10,841
sunk,10,842
stroke,10,843
"words,",10,844
"appeared,",10,845
move,10,846
regal,10,847
fraud,10,848
fame,10,849
womb,10,850
spacious,10,851
opening,10,852
earth's,10,853
narrow,10,854
wheels,10,855
dance,10,856
"still,",10,857
happier,10,858
present,10,859
sentence,10,860
again,10,861
"divine,",10,862
ended,10,863
tongue,10,864
pleased,10,865
"it,",10,866
"wise,",10,867
arm,10,868
"therefore,",10,869
alike,10,870
worship,10,871
gold;,10,872
"time,",10,873
chance,10,874
spring,10,875
speech,10,876
"up,",10,877
delicious,10,878
"peace,",10,879
foes,10,880
several,10,881
silent,10,882
discourse,10,883
passion,10,884
river,10,885
reach,10,886
near,10,887
yonder,10,888
"forth,",10,889
"sin,",10,890
charge,10,891
go,10,892
fountain,10,893
"morn,",10,894
nature's,10,895
fruits,10,896
creature,10,897
man;,10,898
canst,10,899
hate,10,900
because,10,901
distant,10,902
hills,10,903
enjoy,10,904
"was,",10,905
hide,10,906
beasts,10,907
guide,10,908
walk,10,909
heat,10,910
food,10,911
"sense,",10,912
"woods,",10,913
"woe,",9,914
"seat,",9,915
"abyss,",9,916
"sky,",9,917
dismal,9,918
thrice,9,919
"fall,",9,920
"side,",9,921
mutual,9,922
potent,9,923
rage,9,924
"rage,",9,925
overcome,9,926
"large,",9,927
"wrath,",9,928
"winds,",9,929
supreme,9,930
try,9,931
armies,9,932
"battle,",9,933
"hills,",9,934
adore,9,935
anon,9,936
wont,9,937
eastern,9,938
realm,9,939
invisible,9,940
nations,9,941
placed,9,942
blood,9,943
noise,9,944
build,9,945
temple,9,946
flowery,9,947
"spirits,",9,948
amorous,9,949
gold,9,950
witness,9,951
measure,9,952
"right,",9,953
rich,9,954
"thought,",9,955
"scorn,",9,956
secure,9,957
regard,9,958
hid,9,959
gulf,9,960
appear,9,961
create,9,962
sure,9,963
not:,9,964
ascend,9,965
quite,9,966
main,9,967
anger,9,968
"we,",9,969
"length,",9,970
future,9,971
"ended,",9,972
"pleased,",9,973
sword,9,974
possess,9,975
author,9,976
judged,9,977
all.,9,978
reverence,9,979
"sweet,",9,980
"stream,",9,981
woe,9,982
add,9,983
grew,9,984
"spake,",9,985
knows,9,986
myself,9,987
office,9,988
wilt,9,989
little,9,990
following,9,991
shady,9,992
ocean,9,993
decree,9,994
subdue,9,995
"long,",9,996
creation,9,997
"land,",9,998
bound,9,999
"nigh,",9,1000
circuit,9,1001
birth,9,1002
hadst,9,1003
further,9,1004
amid,9,1005
"knowledge,",9,1006
thirst,9,1007
worthy,9,1008
morning,9,1009
"only,",9,1010
"herb,",9,1011
green,9,1012
"happiness,",9,1013
heroick,9,1014
air;,9,1015
single,9,1016
waked,9,1017
tents,9,1018
dust,9,1019
truth,9,1020
tears,9,1021
forbidden,8,1022
upright,8,1023
say,8,1024
rolling,8,1025
"set,",8,1026
named,8,1027
"change,",8,1028
"mind,",8,1029
shook,8,1030
seraphim,8,1031
vigour,8,1032
suffer,8,1033
"end,",8,1034
destined,8,1035
