,university_name,score_cwur,ds_master
833,University of Pittsburgh  Pittsburgh Campus,0.8253613357679637,True
849,University of Rochester,0.6129809768104346,True
869,University of Siena,-0.2718653868787412,True
872,University of South Australia,-0.3864560065191127,True
873,University of South Carolina  Columbia,-0.09351758037079681,True
875,University of Southampton,0.4122319965382069,True
876,University of Southern California,1.1609481504290482,True
879,University of St Andrews,-0.117641921347717,True
882,University of Strathclyde,-0.2796196393356086,True
884,University of Surrey,-0.3089134819504405,True
892,University of Technology Sydney,-0.4097187638897126,True
901,University of Texas at Austin,2.1879558091607905,True
902,University of Texas at Dallas,0.44066425554671973,True
904,University of Texas at San Antonio,-0.030621977109539292,True
923,University of Utah,1.0566965340644998,True
931,University of Vienna,0.12101673760252907,True
933,University of Virginia,0.8891185226355377,True
937,University of Warwick,-0.10557975085925568,True
944,University of WisconsinMadison,2.6738889631244653,True
945,University of WisconsinMilwaukee,-0.3166677344073067,True
966,Utrecht University,0.2821328719841029,True
973,Virginia Commonwealth University,0.02451937369484831,True
974,Virginia Polytechnic Institute and State University,-0.019421390227398215,True
978,Wake Forest University,0.39413874080551736,True
986,West Virginia University,-0.25808004917764427,True
987,Western Michigan University,-0.4140266819213065,True
1009,York University,-0.19776919673534382,True
