Month,MANHATTAN,TotalAccidentsInNYC,PERCENTAGE
April,3540,35112,10.082023239917977
August,2844,38648,7.358724901676672
December,2634,38069,6.919015471906276
February,3195,47042,6.791803069597381
January,3111,51464,6.045002331727033
July,3055,38619,7.910613946503017
June,2956,38231,7.731945280008371
March,3479,36410,9.555067289206262
May,3432,39309,8.73082500190796
November,2838,37329,7.602668166840794
October,2831,39504,7.166362899959498
September,2744,37995,7.222002895117778
